date,state,positive,posNeg
20200702,NY,394954.0,4041593
20200702,OH,52865.0,792005
20200702,OK,14539.0,353050
20200702,OR,9294.0,251054
20200702,PA,88074.0,790273
20200702,RI,16941.0,248268
20200702,SC,39701.0,401401
20200702,SD,6893.0,81941
20200702,TN,46890.0,838454
20200702,TX,175977.0,1975803
20200702,UT,23270.0,346386
20200702,VA,63735.0,674256
20200702,VT,1227.0,67341
20200702,WA,33435.0,571964
20200702,WI,32809.0,596755
20200702,WV,3053.0,178341
20200702,WY,1550.0,35243
20200701,AK,978.0,114400
20200701,AL,38962.0,413953
20200701,AR,21197.0,314858
20200701,AZ,84092.0,549596
20200701,CA,232657.0,4254176
20200701,CO,32715.0,327503
20200701,CT,46572.0,477841
20200701,DE,11510.0,111384
20200701,FL,158997.0,1980354
20200701,GA,84237.0,855038
20200701,HI,917.0,79058
20200701,IA,29451.0,309790
20200701,ID,6117.0,91040
20200701,IL,145066.0,1637108
20200701,IN,45952.0,489716
20200701,KS,14990.0,183173
20200701,KY,15842.0,377090
20200701,LA,60178.0,752088
20200701,MA,109143.0,858435
20200701,MD,67918.0,542604
20200701,ME,3294.0,97241
20200701,MI,71089.0,1061859
20200701,MN,36716.0,617107
20200701,MO,21927.0,389740
20200701,MS,27900.0,293752
20200701,MT,1016.0,93330
20200701,NC,66513.0,942238
20200701,ND,3615.0,107226
20200701,NE,19177.0,180608
20200701,NH,5782.0,119169
20200701,NJ,171928.0,1442937
20200701,NM,12147.0,344181
20200701,NV,19101.0,284096
20200701,NY,394079.0,3971648
20200701,OH,52865.0,792005
20200701,OK,14112.0,346313
20200701,OR,8931.0,243360
20200701,PA,87242.0,776804
20200701,RI,16853.0,244215
20200701,SC,37919.0,389872
20200701,SD,6826.0,80943
20200701,TN,45315.0,817886
20200701,TX,168062.0,1921948
20200701,UT,22716.0,343358
20200701,VA,63203.0,658633
20200701,VT,1210.0,66292
20200701,WA,32824.0,557275
20200701,WI,32225.0,583832
20200701,WV,2932.0,173352
20200701,WY,1514.0,33699
20200630,AK,940.0,112185
20200630,AL,38045.0,406652
20200630,AR,20777.0,311203
20200630,AZ,79215.0,532356
20200630,CA,222917.0,4167139
20200630,CO,32511.0,323857
20200630,CT,46514.0,466394
20200630,DE,11474.0,110881
20200630,FL,152434.0,1944995
20200630,GA,81291.0,833878
20200630,HI,900.0,77743
20200630,IA,29007.0,304188
20200630,ID,5752.0,89303
20200630,IL,144238.0,1604018
20200630,IN,45594.0,484196
20200630,KS,14443.0,176725
20200630,KY,15624.0,370934
20200630,LA,58095.0,728511
20200630,MA,108882.0,848141
20200630,MD,67559.0,535855
20200630,ME,3253.0,94952
20200630,MI,70728.0,1045057
20200630,MN,36303.0,605316
20200630,MO,21551.0,373007
20200630,MS,27247.0,287546
20200630,MT,967.0,90861
20200630,NC,64670.0,910033
20200630,ND,3576.0,106122
20200630,NE,19042.0,178157
20200630,NH,5760.0,118298
20200630,NJ,171667.0,1422374
20200630,NM,11982.0,337720
20200630,NV,18456.0,277568
20200630,NY,393454.0,3914938
20200630,OH,51789.0,787929
20200630,OK,13757.0,341597
20200630,OR,8656.0,237634
20200630,PA,86606.0,764187
20200630,RI,16813.0,242282
20200630,SC,36399.0,380572
20200630,SD,6764.0,80088
20200630,TN,43509.0,793127
20200630,TX,159986.0,1869282
20200630,UT,22217.0,340753
20200630,VA,62787.0,645034
20200630,VT,1208.0,65764
20200630,WA,32253.0,548220
20200630,WI,31662.0,571201
20200630,WV,2905.0,171764
20200630,WY,1487.0,33672
20200629,AK,904.0,108709
20200629,AL,37175.0,393293
20200629,AR,20257.0,302536
20200629,AZ,74533.0,511423
20200629,CA,216550.0,4061692
20200629,CO,32307.0,319565
20200629,CT,46362.0,444976
20200629,DE,11376.0,109931
20200629,FL,146341.0,1912743
20200629,GA,79417.0,823117
